Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.annuaire.json	21850	-	0	0	0	0	0	0	8	161	0	0	0	0	0	0	0	1	0	0	222	223	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-as-ext-device-Period-implantation.json	2614	12	0	0	0	0	0	86	0	100	0	0	1	0	0	0	0	0	0	0	105	1886	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-as-ext-practitionerrole-registration.json	10591	113	0	0	0	0	0	242	0	233	0	0	0	0	0	0	0	1	0	0	362	1471	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-as-dr-organization.json	811	4	0	0	0	0	0	1382	0	602	0	0	0	0	0	0	0	1	0	0	792	4070	0	0	0	19	1	3
fsh-generated/resources/StructureDefinition-as-dp-practitioner.json	4016	20	1	0	0	0	0	1781	0	811	0	0	1	0	0	0	0	2	0	0	1056	4342	0	0	0	27	1	2
fsh-generated/resources/StructureDefinition-as-ext-practitioner-deceased-date-time.json	1980	7	0	0	0	0	0	43	0	34	0	0	0	0	0	0	0	0	0	0	53	227	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-as-ext-practitionerrole-smartcard.json	6750	24	0	0	0	0	0	178	0	177	0	0	0	0	0	0	0	1	0	0	266	752	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-as-dr-practitioner.json	964	4	0	0	0	0	0	747	0	764	0	0	0	0	0	0	0	2	0	0	1075	4029	0	0	0	25	0	2
fsh-generated/resources/StructureDefinition-as-ext-healthcareservice-authorization-date.json	1847	6	0	0	0	0	0	34	0	27	0	0	0	0	0	0	0	0	0	0	49	166	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-as-dr-healthcareservice-social-equipment.json	3791	17	0	0	0	0	0	501	0	233	0	0	0	0	0	0	0	0	0	0	350	935	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-as-ext-healthcareservice-activity-type.json	2654	8	0	0	0	0	0	42	0	35	0	0	0	0	0	0	0	0	0	0	59	376	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-as-address-extended.json	4042	12	0	0	0	0	0	116	0	168	0	0	1	0	0	0	0	1	0	0	175	452	0	0	0	5	1	0
fsh-generated/resources/StructureDefinition-as-ext-healthcareservice-authorization-number-arhgos.json	1784	7	1	0	0	0	0	23	0	31	0	0	0	0	0	0	0	0	0	0	47	145	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-as-ext-healthcareservice-delete-autorization-implantation.json	2000	6	0	0	0	0	0	22	0	26	0	0	0	0	0	0	0	0	0	0	53	161	0	0	0	1	0	0
