Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.annuaire.json	22777	-	0	0	0	0	0	0	5	136	0	0	0	0	0	0	0	1	0	0	240	197	0	0	10	6	0	1
fsh-generated/resources/StructureDefinition-as-ext-practitionerrole-registration.json	8544	40	0	0	0	0	0	203	1	216	0	0	0	0	0	0	0	1	0	0	324	2767	0	0	0	8	0	1
fsh-generated/resources/CapabilityStatement-AsClientCapabilityStatement.json	20642	48	0	0	0	0	0	0	2	44	0	0	0	0	0	0	0	0	0	0	60	108	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-as-location.json	1683	6	1	0	0	0	0	339	0	283	0	0	0	0	0	0	0	1	0	0	281	1337	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-as-dp-healthcareservice-healthcare-activity.json	3624	16	0	0	0	0	0	751	0	261	0	0	1	0	0	0	0	1	0	0	454	1558	0	0	0	12	1	1
fsh-generated/resources/StructureDefinition-as-address-extended.json	4014	12	0	0	0	0	0	155	0	115	0	0	0	0	0	0	0	1	0	0	201	514	0	1	0	5	0	1
fsh-generated/resources/StructureDefinition-as-ext-data-trace.json	3656	12	0	0	0	0	0	102	0	73	0	0	1	0	0	0	0	0	0	0	162	345	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-as-dr-practitionerrole.json	2066	9	0	0	0	0	0	1244	0	516	0	0	0	0	0	0	0	2	0	0	724	3439	0	0	0	16	0	2
fsh-generated/resources/ValueSet-type-systeme-information-vs.json	528	3	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	6	6547	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-as-sp-ms-sante.json	519	3	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	7	11	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-as-healthcareservice-healthcare-activity.json	7773	22	0	0	0	0	0	0	0	274	0	0	2	0	0	0	0	1	0	0	464	1660	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-as-ext-organization-pharmacy-licence.json	1774	6	0	0	0	0	0	39	0	25	0	0	1	0	0	0	0	0	0	0	47	290	0	0	0	2	0	1
