Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.annuaire.json	24705	-	0	0	0	0	0	0	6	85	0	0	0	0	0	0	0	1	1	0	178	208	0	0	0	4	0	1
fsh-generated/resources/CapabilityStatement-AsClientCapabilityStatement.json	20642	23	0	0	1	0	0	0	1	84	0	0	0	0	0	0	0	0	0	0	129	74	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-as-cs-intern-id-systems.json	1147	2	0	0	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	13	1578	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-type-systeme-information-cs.json	1308	3	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	13	89	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-as-sp-data-information-system.json	743	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	10	9	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-as-sp-data-registration-authority.json	749	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-as-sp-mailbox-mss.json	526	2	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-as-sp-number-smartcard.json	647	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-as-sp-pharmacy-licence.json	585	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	1
fsh-generated/resources/SearchParameter-as-sp-practitionerrole-name.json	738	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-as-sp-type-smartcard.json	631	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-as-address-extended.json	5120	8	0	0	0	0	0	106	0	127	0	0	0	0	0	0	0	1	0	0	204	1244	0	0	0	3	1	0
fsh-generated/resources/StructureDefinition-as-codeableconcept-timed.json	1544	3	0	0	0	0	0	27	0	18	0	0	0	0	0	0	0	0	0	0	57	206	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-as-device.json	4177	7	0	0	0	0	0	351	0	195	0	0	0	0	0	0	0	1	0	0	430	947	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-as-dp-device.json	3269	6	0	0	0	0	0	156	0	163	0	0	0	0	0	0	0	0	0	0	463	671	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-as-dp-healthcareservice-healthcare-activity.json	3631	6	0	0	0	0	0	265	0	117	0	0	1	0	0	0	0	1	0	0	391	515	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-as-dp-healthcareservice-social-equipment.json	4083	7	0	0	0	0	0	299	0	122	0	0	0	0	0	0	0	1	0	0	408	451	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-as-dp-organization.json	6310	10	0	0	0	0	0	866	0	485	0	0	0	0	0	0	0	2	0	0	1182	1861	0	0	0	17	0	2
fsh-generated/resources/StructureDefinition-as-dp-practitioner.json	9564	13	0	0	0	0	0	2882	0	1334	0	0	1	0	0	0	0	7	0	0	3290	2718	0	0	0	39	1	6
fsh-generated/resources/StructureDefinition-as-dp-practitionerrole.json	4558	8	0	0	0	0	0	429	0	231	0	0	1	0	0	0	0	1	0	0	585	474	0	0	0	10	0	0
fsh-generated/resources/StructureDefinition-as-dr-device.json	3180	6	1	0	0	0	0	137	0	164	0	0	0	0	0	0	0	1	0	0	396	272	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-as-dr-healthcareservice-healthcare-activity.json	3520	6	0	0	0	0	0	112	0	116	0	0	0	0	0	0	0	1	0	0	340	314	0	0	0	5	0	0
