Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.annuaire.json	32878	-	0	0	0	0	0	0	4	231	0	0	0	0	0	0	0	0	0	0	149	233	0	0	1	9	0	1
fsh-generated/resources/CapabilityStatement-AsServerCapabilityStatement.json	22507	22	0	0	0	0	0	0	2	86	0	0	0	0	0	0	0	1	0	0	93	85	0	0	0	6	0	0
fsh-generated/resources/CodeSystem-as-cs-organization-types.json	1210	21	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	18	2955	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-as-cs-type-etablissement.json	808	22	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	16	91	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-as-cs-type-systeme-information.json	1295	22	0	0	1	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	22	84	0	0	0	1	0	0
fsh-generated/resources/Organization-158480.json	3873	22	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	21	26	0	0	0	0	0	0
fsh-generated/resources/Organization-158480DP.json	3869	25	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	15	19	0	0	0	0	0	0
fsh-generated/resources/Organization-481677.json	3298	21	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	15	18	0	0	0	0	0	0
fsh-generated/resources/Organization-481677DP.json	2365	22	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	13	16	0	0	0	0	0	0
fsh-generated/resources/Organization-548812.json	2111	23	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	17	16	0	0	0	0	0	0
