Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.annuaire.json	25911	-	0	0	0	0	0	0	5	106	0	0	0	0	0	0	0	1	0	0	208	247	0	0	0	5	0	1
fsh-generated/resources/CapabilityStatement-AsClientCapabilityStatement.json	20642	49	0	0	0	0	0	0	2	116	0	0	0	0	0	0	0	0	0	0	123	89	0	1	0	3	0	1
fsh-generated/resources/CodeSystem-as-cs-intern-id-systems.json	1147	7	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	14	1695	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-as-cs-organization-types.json	939	5	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	13	59	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-type-systeme-information-cs.json	1308	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	14	51	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-as-sp-data-information-system.json	743	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-as-sp-data-registration-authority.json	749	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	13	5	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-as-sp-mailbox-mss.json	526	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	11	5	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-as-sp-number-smartcard.json	647	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	5	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-as-sp-pharmacy-licence.json	585	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	10	5	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-as-sp-type-smartcard.json	631	4	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	10	5	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-as-address-extended.json	5139	12	0	0	0	0	0	85	0	135	0	0	1	0	0	0	0	1	0	0	220	827	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-as-codeableconcept-timed.json	1544	7	0	0	0	0	0	23	0	16	0	0	0	0	0	0	0	0	0	0	66	171	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-as-device.json	4177	11	0	0	0	0	0	325	1	132	0	0	0	0	0	0	0	0	0	0	383	664	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-as-dp-device.json	3269	12	0	0	0	0	0	149	0	146	0	0	0	0	0	0	0	1	0	0	427	579	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-as-dp-healthcareservice-healthcare-activity.json	3631	10	0	0	0	0	0	263	0	105	0	0	0	0	0	0	0	1	0	0	346	387	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-as-dp-healthcareservice-social-equipment.json	4083	12	0	0	0	0	0	257	0	109	0	0	0	0	0	0	0	0	0	0	370	359	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-as-dp-organization.json	6310	19	1	0	0	0	0	940	0	501	0	0	1	0	0	0	0	3	0	0	1316	1344	0	0	0	19	1	2
fsh-generated/resources/StructureDefinition-as-dp-practitioner.json	7216	18	0	0	0	0	0	2511	0	1155	0	0	1	0	0	0	0	6	0	0	3030	3174	0	0	0	37	1	5
fsh-generated/resources/StructureDefinition-as-dp-practitionerrole.json	4684	13	0	0	0	0	0	470	0	224	0	0	0	0	0	0	0	1	0	0	581	759	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-as-dr-device.json	3180	12	0	0	0	0	0	167	0	126	0	0	0	0	0	0	0	1	0	0	401	394	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-as-dr-healthcareservice-healthcare-activity.json	3520	10	0	0	0	0	0	101	0	103	0	0	0	0	0	0	0	1	0	0	338	233	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-as-dr-healthcareservice-social-equipment.json	3972	12	0	0	0	0	0	102	0	106	0	0	1	0	0	0	0	0	0	0	358	259	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-as-dr-organization.json	794	5	0	0	0	0	0	419	0	406	0	0	0	0	0	0	0	2	0	0	967	1057	0	0	0	13	0	1
fsh-generated/resources/StructureDefinition-as-dr-person.json	1207	5	1	0	0	0	0	222	0	104	0	0	0	0	0	0	0	1	0	0	283	376	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-as-dr-practitioner.json	1202	5	0	0	0	0	0	1209	0	1167	0	0	1	0	0	0	0	6	0	0	2956	2336	0	0	0	37	1	4
fsh-generated/resources/StructureDefinition-as-dr-practitionerrole.json	2498	9	0	0	0	0	0	187	0	158	0	0	0	0	0	0	0	1	0	0	424	360	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-as-ext-codeableconcept-timed-metadata.json	1841	6	0	0	0	0	0	16	0	20	0	0	0	0	0	0	0	0	0	0	72	81	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-as-ext-data-trace.json	3831	10	0	0	0	0	0	29	0	52	0	0	1	0	0	0	0	0	0	0	119	101	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-as-ext-digital-certificate.json	7932	17	0	0	0	0	0	66	0	71	0	0	0	0	0	0	0	0	0	0	290	187	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-as-ext-education-level.json	4346	11	0	0	0	0	0	35	0	40	0	0	0	0	0	0	0	1	0	0	147	141	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-as-ext-healthcareservice-authorization.json	7822	17	0	0	0	0	0	70	0	73	0	0	0	0	0	0	0	0	0	0	295	207	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-as-ext-lieu-dit.json	1513	6	1	0	0	0	0	9	0	13	0	0	0	0	0	0	0	0	0	0	48	86	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-as-ext-mailbox-mss-metadata.json	7419	17	0	0	0	0	0	61	0	70	0	0	0	0	0	0	0	0	0	0	289	172	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-as-ext-organization-authorization-deadline.json	2882	9	0	0	0	0	0	28	0	33	0	0	0	0	0	0	0	1	0	0	112	109	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-as-ext-organization-budget-type.json	1709	6	0	0	0	0	0	9	0	12	0	0	0	0	0	0	0	0	0	0	51	60	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-as-ext-organization-closing-type.json	1858	7	0	0	0	0	0	11	0	13	0	0	0	0	0	0	0	0	0	0	52	60	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-as-ext-organization-pharmacy-licence.json	1743	6	0	0	0	0	0	9	0	12	0	0	0	0	0	0	0	0	0	0	49	58	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-as-ext-organization-pricing-model.json	1885	6	1	0	0	0	0	10	0	12	0	0	0	0	0	0	0	0	0	0	50	63	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-as-ext-organization-types.json	1652	7	0	0	0	0	0	10	0	13	0	0	0	0	0	0	0	0	0	0	49	60	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-as-ext-patient-type.json	3095	6	0	0	0	0	0	28	0	31	0	0	0	0	0	0	0	0	0	0	114	116	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-as-ext-person-birth-place.json	2327	4	0	0	0	0	0	11	0	29	0	0	0	0	0	0	0	0	0	0	60	97	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-as-ext-person-deceased-date-time.json	2170	4	0	0	0	0	0	12	0	17	0	0	0	0	0	0	0	0	0	0	58	77	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-as-ext-person-nationality.json	3258	9	0	0	0	0	0	28	0	33	0	0	0	0	0	0	0	0	0	0	115	89	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-as-ext-practitioner-authorization.json	5706	10	0	0	0	0	0	48	0	54	0	0	0	0	0	0	0	1	0	0	206	126	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-as-ext-practitionerrole-contracted.json	2210	4	1	0	0	0	0	11	0	14	0	0	0	0	0	0	0	0	0	0	55	60	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-as-ext-practitionerrole-hascas.json	1958	3	0	0	0	0	0	9	0	11	0	0	0	0	0	0	0	0	0	0	49	67	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-as-ext-practitionerrole-vitale-accepted.json	1913	3	0	0	0	0	0	10	0	11	0	0	0	0	0	0	0	0	0	0	48	57	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-as-ext-registration.json	7922	9	0	0	0	0	0	59	0	105	0	0	0	0	0	0	0	0	0	0	266	148	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-as-ext-smartcard.json	5632	7	0	0	0	0	0	58	0	64	0	0	0	0	0	0	0	0	0	0	230	137	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-as-ext-supported-capacity.json	8864	10	0	0	0	0	0	67	1	72	0	0	0	0	0	0	0	1	0	0	301	163	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-as-healthcareservice-healthcare-activity.json	5324	6	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	351	311	0	1	0	6	0	0
